"ID-Q","Questions"
"Q1","hi im ellie thanks for coming in today i was created to talk to people in a safe and secure environment think of me as a friend i dont judge i cant im a computer im here to learn about people and would love to learn about you ill ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential. how are you doing today"
"Q2","im great thanks where are you from originally"
"Q3","really"
"Q4","what are some things you really like about l_a"
"Q5","what are some things you dont really like about l_a"
"Q6","whatd you study at school"
"Q7","nice are you still working in that"
"Q8","whats your dream job"
"Q9","that sounds like a great situation"
"Q10","how hard is that"
"Q11","that makes sense do you consider yourself an introvert"
"Q12","lets come back to that later"
"Q13","what do you do to relax"
"Q14","okay how are you at controlling your temper"
"Q15","right how hard is that"
"Q16","has that gotten you in trouble"
"Q17","thats good whos someone thats been a positive influence in your life"
"Q18","that sounds like a great situation"
"Q19","do you find it easy to be a parent"
"Q20","whats the hardest thing about being a parent"
"Q21","can you give me an example of that"
"Q22","tell me about your kids"
"Q23","aw"
"Q24","awesome"
"Q25","whats the hardest thing about being a parent"
"Q26","yeah"
"Q27","yeah i see what you mean whats one of your most memorable experiences"
"Q28","whatever comes to your mind"
"Q29","wow"
"Q30","thats so good to hear"
"Q31","how did you feel in that moment"
"Q32","that sounds like a great situation"
"Q33","what advice would you give yourself ten or twenty years ago"
"Q34","right could you have done anything to avoid it"
"Q35","yeah there are always tradeoffs in life arent there"
"Q36","when was the last time you argued with someone and what was it about"
"Q37","right"
"Q38","how close are you to them"
"Q39","how close are you to them"
"Q40","tell me more about that"
"Q41","mhm"
"Q42","how hard is that"
"Q43","yeah"
"Q44","im sorry i see what you mean how easy is it for you to get a good nights sleep"
"Q45","do you feel that way often"
"Q46","what are you like when you dont sleep well"
"Q47","what do you do when youre annoyed"
"Q48","have you ever served in the military"
"Q49","have you been diagnosed with depression"
"Q50","how would you best friend describe you"
"Q51","mhm"
"Q52","right thats great"
"Q53","when was the last time you felt really happy"
"Q54","yeah"
"Q55","thats so good to hear"
"Q56","okay i think ive asked everything i need to thanks for sharing your thoughts with me"
"Q57","goodbye"
"Q58","hi im ellie thanks for coming in today i was created to talk to people in a safe and secure environment think of me as a friend i dont judge i cant im a computer.  im here to learn about people and would love to learn about you ill ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential. how are you doing today"
"Q59","thats good where are you from originally"
"Q60","what are some things you really like about l_a"
"Q61","whatd you study at school"
"Q62","nice are you still doing that"
"Q63","whats your dream job"
"Q64","how hard is that"
"Q65","really"
"Q66","what are some things that make you really mad"
"Q67","mhm"
"Q68","can you give me an example of that"
"Q69","whos someone thats been a positive influence in your life"
"Q70","how close are you to them"
"Q71","thats so good to hear how close are you to your family"
"Q72","how do you like your living situation"
"Q73","<laughter>"
"Q74","do you have roommates"
"Q75","tell me more about that"
"Q76","whats it like for you living with them"
"Q77","could you have done anything to avoid it"
"Q78","could you say a little more about that"
"Q79","im sorry to hear that"
"Q80","how do you know them"
"Q81","lets come back to that later"
"Q82","what are some things that make you really mad"
"Q83","whatever comes to your mind"
"Q84","mhm"
"Q85","okay do you consider yourself an introvert"
"Q86","why"
"Q87","do you feel that way often"
"Q88","okay when was the last time you argued with someone and what was it about"
"Q89","really"
"Q90","how did you feel in that moment"
"Q91","can you tell me about that"
"Q92","oh my gosh"
"Q93","yeah that sucks"
"Q94","thats so good to hear"
"Q95","what advice would you give yourself ten or twenty years ago"
"Q96","okay tell me more about that"
